04:39:00 ENDED 51  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.0001} (0.6805840675447915)
04:39:00 START 52  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.001}
04:39:42 ENDED 3   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.0001} (0.3616793539471687)
04:39:42 START 4   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.001}
04:41:19 ENDED 43  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.0001} (0.556765262678627)
04:41:19 START 44  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.001}
04:45:55 ENDED 31  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.0001} (0.4807534087913668)
04:45:55 START 32  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.001}
04:46:24 ENDED 74  / 300 : {'epochs': 17, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.001} (0.41820098888897766)
04:46:24 START 75  / 300 : {'epochs': 17, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.0001}
04:48:01 ENDED 19  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.0001} (0.40232924091987443)
04:48:01 START 20  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.001}
04:51:28 ENDED 62  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.001} (0.3879591983449289)
04:51:28 START 63  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.0001}
04:59:03 ENDED 66  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.001} (0.3618790488134131)
04:59:03 START 67  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.0001}
04:59:23 ENDED 39  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.0001} (0.5743064597295333)
04:59:24 START 40  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.001}
05:08:27 ENDED 7   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.0001} (0.3414382823046385)
05:08:27 START 8   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.001}
05:11:53 ENDED 59  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.0001} (0.3991261352653146)
05:11:53 START 60  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.001}
05:12:55 ENDED 23  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.0001} (0.40936648800632636)
05:12:55 START 24  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.001}
05:28:48 ENDED 27  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.0001} (0.48236694331062135)
05:28:48 START 28  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.001}
05:35:16 ENDED 55  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.0001} (0.6765981580145538)
05:35:16 START 56  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.001}
06:24:21 ENDED 36  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.001} (0.44290723774073215)
06:24:21 START 77  / 300 : {'epochs': 17, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001}
06:35:24 ENDED 16  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.001} (0.40236119209847354)
06:35:24 START 81  / 300 : {'epochs': 17, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001}
06:40:34 ENDED 52  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.001} (0.6600154963216206)
06:40:34 START 85  / 300 : {'epochs': 17, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001}
06:45:09 ENDED 48  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.001} (0.5629318401482535)
06:45:09 START 89  / 300 : {'epochs': 17, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001}
06:51:30 ENDED 12  / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.001} (0.3725826936441118)
06:51:30 START 93  / 300 : {'epochs': 17, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001}
06:53:54 ENDED 20  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.001} (0.4089591104791878)
06:53:54 START 97  / 300 : {'epochs': 17, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001}
06:54:44 ENDED 4   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.001} (0.36576111701320385)
06:54:44 START 101 / 300 : {'epochs': 17, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001}
06:57:18 ENDED 32  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.001} (0.48088920130041296)
06:57:18 START 105 / 300 : {'epochs': 17, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001}
07:04:35 ENDED 40  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.001} (0.5728047543353756)
07:04:35 START 109 / 300 : {'epochs': 17, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001}
07:09:27 ENDED 44  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L1', 'reg_const': 0.001} (0.5661908603653617)
07:09:27 START 113 / 300 : {'epochs': 17, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001}
07:21:17 ENDED 24  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.001} (0.40103521818661086)
07:21:17 START 117 / 300 : {'epochs': 17, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001}
